,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal
0,0.0,10.0,30.0,0.4277863646209717,7200.215969085693,3109.0,1321.53765006071
1,0.0,10.0,40.0,0.4112322914180448,7200.348867416382,6726.0,1289.5767519457404
2,0.0,10.0,50.0,0.4113057419193404,7200.314678192139,2841.0,1289.7731721351133
3,0.0,10.0,60.0,0.38639018471879133,7200.186685562134,2048.0,1226.280594906243
4,0.0,10.0,70.0,0.4513335792964581,7200.667894363403,1188.0,1376.251389617882
5,1.0,10.0,30.0,0.41103234035868463,7200.372455596924,9321.0,1131.888492724053
6,1.0,10.0,40.0,0.4197171665312212,7200.1523151397705,3978.0,1150.933906554469
7,1.0,10.0,50.0,0.45156796977142927,7200.359075546265,5664.0,1217.7738195368984
8,1.0,10.0,60.0,0.47042839387958896,7200.783239364624,1323.0,1254.922685447321
9,1.0,10.0,70.0,0.38743189443261905,7200.163942337036,5631.0,1090.3644710228546
10,2.0,10.0,30.0,0.4909526960626219,7200.258340835571,8604.0,1175.4891848353063
11,2.0,10.0,40.0,0.5330428886353322,7200.111465454102,1256.0,1283.880049624163
12,2.0,10.0,50.0,0.4952629757374167,7200.063449859619,3809.0,1190.158061821199
13,2.0,10.0,60.0,0.49725572364637693,7200.064743041992,1273.0,1192.6523220460808
14,2.0,10.0,70.0,0.47048279354034167,7200.185794830322,5127.0,1139.633578112467
15,3.0,10.0,30.0,0.5060605260589722,7200.167043685913,5558.0,902.2991615829172
16,3.0,10.0,40.0,0.49063606859272224,7200.153448104858,4189.0,874.9759261407235
17,3.0,10.0,50.0,0.5173781280314714,7200.146131515503,3923.0,923.4579713382445
18,3.0,10.0,60.0,0.48321928623238836,7200.2239818573,4936.0,862.4183699272303
19,3.0,10.0,70.0,0.45979870344846646,7200.217533111572,4838.0,825.0279611761889
20,4.0,10.0,30.0,0.33892225342404037,7200.467609405518,11213.0,1460.2191813760403
21,4.0,10.0,40.0,0.339799851981526,7200.1963901519775,5884.0,1462.1602422031
22,4.0,10.0,50.0,0.3004360573441661,7200.2058181762695,4922.0,1379.2487177593255
23,4.0,10.0,60.0,0.343468056562261,7200.37410736084,3915.0,1470.333857188958
24,4.0,10.0,70.0,0.3209324649605827,7200.25154876709,4774.0,1421.5351921485428
25,0.0,15.0,30.0,0.47701964558495663,7210.505941390991,1064.0,1899.163871412848
