,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal,Sec
0,0.0,5.0,30.0,0.0,86.1634349822998,9138.0,332.3715261594879,0.0
1,0.0,5.0,40.0,1.0183473912886625e-07,229.88642501831055,22212.0,332.37152832550703,0.0
2,0.0,5.0,50.0,5.785241308197307e-09,108.09198570251465,15047.0,332.37152776164714,0.0
3,0.0,5.0,60.0,0.0,271.150110244751,18030.0,332.3715240737895,0.0
4,0.0,5.0,70.0,1.6137851265190555e-08,388.01881217956543,33198.0,332.37152802832225,0.0
5,1.0,5.0,30.0,5.44845659539613e-08,459.71813583374023,24631.0,463.3381582452792,0.0
6,1.0,5.0,40.0,5.623000787872787e-09,184.37099075317383,14857.0,459.5082437951975,0.0
7,1.0,5.0,50.0,0.0,295.6125946044922,15959.0,458.02562086579485,0.0
8,1.0,5.0,60.0,1.9099707833731537e-08,473.00706672668457,20536.0,458.0256215032242,0.0
9,1.0,5.0,70.0,1.329637018867617e-07,667.1152763366699,29229.0,458.02562081568186,0.0
10,2.0,5.0,30.0,6.980665819659609e-07,102.49993896484375,8023.0,427.4614796336651,0.0
11,2.0,5.0,40.0,0.0,184.65327644348145,15186.0,405.5478746523546,0.0
12,2.0,5.0,50.0,4.3559567923041414e-08,113.17938041687012,11504.0,405.5478759275043,0.0
13,2.0,5.0,60.0,0.0,184.22442436218262,9865.0,405.54786964036595,0.0
14,2.0,5.0,70.0,0.0,107.1913948059082,6753.0,405.4706556643975,0.0
15,3.0,5.0,30.0,0.0,188.0320529937744,10033.0,367.79870761510983,0.0
16,3.0,5.0,40.0,1.962990767844598e-07,678.9416542053223,28999.0,364.0129321538489,0.0
17,3.0,5.0,50.0,0.0,355.63610649108887,18133.0,362.6959557716838,0.0
18,3.0,5.0,60.0,0.0,180.29692268371582,16476.0,362.695941756144,0.0
19,3.0,5.0,70.0,9.664890359413284e-08,75.76841163635254,8194.0,362.6959563272762,0.0
20,4.0,5.0,30.0,7.985667104181268e-07,144.87663078308105,14303.0,471.5232441099589,0.0
21,4.0,5.0,40.0,4.116536945708991e-09,334.94527435302734,21154.0,441.1014133393311,0.0
22,4.0,5.0,50.0,0.0,208.85752296447754,13137.0,441.10141204665547,0.0
23,4.0,5.0,60.0,0.0,586.3951015472412,28095.0,441.1014137176113,0.0
24,4.0,5.0,70.0,2.112391419211757e-07,144.55550003051758,15262.0,441.10141132022704,0.0
25,0.0,6.0,30.0,0.0,1278.4440326690674,33443.0,594.9334346764665,0.0
26,0.0,6.0,40.0,0.38984503171832974,7200.131235122681,74911.0,590.5188677468376,0.0
27,0.0,6.0,50.0,0.0,5276.607780456543,58639.0,533.976555235034,0.0
28,0.0,6.0,60.0,0.4156811693578312,7200.227714538574,57784.0,538.3834036997317,0.0
29,0.0,6.0,70.0,0.5065846037174935,7201.561815261841,74038.0,606.6317627189663,0.0
30,1.0,6.0,30.0,9.939373147953672e-08,5838.243459701538,63074.0,475.0212818697591,0.0
31,1.0,6.0,40.0,0.317905836783827,7200.506008148193,57911.0,475.0212735573438,0.0
32,1.0,6.0,50.0,0.4384877081956298,7200.1857051849365,63070.0,507.9479362998344,0.0
33,1.0,6.0,60.0,,,,,
34,1.0,6.0,70.0,0.3706709784587419,7200.161725997925,73896.0,475.0212851735693,0.0
35,2.0,6.0,30.0,1.7456327284281306e-07,3083.2439289093018,43753.0,408.2883256305525,0.0
36,2.0,6.0,40.0,0.0,2074.3230419158936,32913.0,408.2883399076687,0.0
37,2.0,6.0,50.0,0.0,3305.5366439819336,55238.0,399.512430870337,0.0
38,2.0,6.0,60.0,0.5043858316812374,7200.088523864746,38357.0,520.2575508751376,0.0
39,2.0,6.0,70.0,0.48140618171747895,7200.234283447266,58481.0,523.0243235273484,0.0
40,3.0,6.0,30.0,0.0,3853.23002243042,60178.0,443.94803581287687,0.0
41,3.0,6.0,40.0,0.0,6286.790620803833,77846.0,432.7830210095431,0.0
42,3.0,6.0,50.0,3.0619793333554093e-07,4401.41467666626,62258.0,432.78303448660523,0.0
43,3.0,6.0,60.0,8.481234833150959e-09,4807.72850227356,66131.0,432.78303020864547,0.0
44,3.0,6.0,70.0,0.46454772919585635,7200.110321044922,49872.0,490.95741121806213,0.0
45,4.0,6.0,30.0,0.4650969967135599,7200.2141036987305,50272.0,734.1528627763423,0.0
46,4.0,6.0,40.0,0.0,3221.943588256836,62665.0,608.693434312314,0.0
47,4.0,6.0,50.0,0.0,6483.524156570435,64521.0,558.7530709597414,0.0
48,4.0,6.0,60.0,0.0855692015591278,7200.4304275512695,96157.0,626.2918720159919,0.0
49,4.0,6.0,70.0,,,,,
50,0.0,7.0,30.0,0.560811520906833,7200.237234115601,33818.0,799.1445355830806,0.0
51,0.0,7.0,40.0,,,,,
52,0.0,7.0,50.0,0.5415610707061275,7200.1833572387695,37289.0,764.4601989880078,0.0
53,0.0,7.0,60.0,0.5490247022607955,7200.169477462769,34326.0,733.0730531817496,0.0
54,0.0,7.0,70.0,,,,,
55,1.0,7.0,30.0,,,,,
56,1.0,7.0,40.0,,,,,
57,1.0,7.0,50.0,0.4946511007327982,7200.14621925354,39827.0,435.50451417513983,0.0
58,1.0,7.0,60.0,,,,,
59,1.0,7.0,70.0,,,,,
60,2.0,7.0,30.0,,,,,
61,2.0,7.0,40.0,0.45630461843350406,7200.095941543579,40847.0,422.285601188831,0.0
62,2.0,7.0,50.0,,,,,
63,2.0,7.0,60.0,,,,,
64,2.0,7.0,70.0,,,,,
65,3.0,7.0,30.0,0.6847001692491805,7200.218662261963,31953.0,650.64501784657,0.0
66,3.0,7.0,40.0,,,,,
67,3.0,7.0,50.0,,,,,
68,3.0,7.0,60.0,,,,,
69,3.0,7.0,70.0,,,,,
70,4.0,7.0,30.0,,,,,
71,4.0,7.0,40.0,0.4299879448097998,7200.122505187988,26844.0,449.63975590366266,0.0
72,4.0,7.0,50.0,0.6903742092769937,7200.184432983398,31936.0,680.8820755725877,0.0
73,4.0,7.0,60.0,,,,,
74,4.0,7.0,70.0,,,,,
75,0.0,8.0,30.0,,,,,
76,0.0,8.0,40.0,,,,,
77,0.0,8.0,50.0,,,,,
78,0.0,8.0,60.0,,,,,
79,0.0,8.0,70.0,,,,,
80,1.0,8.0,30.0,,,,,
81,1.0,8.0,40.0,,,,,
82,1.0,8.0,50.0,,,,,
83,1.0,8.0,60.0,,,,,
84,1.0,8.0,70.0,,,,,
85,2.0,8.0,30.0,,,,,
86,2.0,8.0,40.0,,,,,
87,2.0,8.0,50.0,,,,,
88,2.0,8.0,60.0,,,,,
89,2.0,8.0,70.0,,,,,
90,3.0,8.0,30.0,0.7332313255857605,7200.676326751709,14237.0,767.1452669142479,0.0
91,3.0,8.0,40.0,,,,,
92,3.0,8.0,50.0,,,,,
93,3.0,8.0,60.0,,,,,
94,3.0,8.0,70.0,,,,,
95,4.0,8.0,30.0,,,,,
96,4.0,8.0,40.0,,,,,
97,4.0,8.0,50.0,,,,,
98,4.0,8.0,60.0,,,,,
99,4.0,8.0,70.0,,,,,
100,0.0,9.0,30.0,,,,,
101,0.0,9.0,40.0,,,,,
102,0.0,9.0,50.0,,,,,
103,0.0,9.0,60.0,,,,,
104,0.0,9.0,70.0,,,,,
105,1.0,9.0,30.0,,,,,
106,1.0,9.0,40.0,,,,,
107,1.0,9.0,50.0,,,,,
108,1.0,9.0,60.0,,,,,
109,1.0,9.0,70.0,,,,,
110,2.0,9.0,30.0,,,,,
111,2.0,9.0,40.0,,,,,
112,2.0,9.0,50.0,,,,,
113,2.0,9.0,60.0,,,,,
114,2.0,9.0,70.0,,,,,
115,3.0,9.0,30.0,,,,,
116,3.0,9.0,40.0,,,,,
117,3.0,9.0,50.0,,,,,
118,3.0,9.0,60.0,,,,,
119,3.0,9.0,70.0,,,,,
120,4.0,9.0,30.0,,,,,
121,4.0,9.0,40.0,,,,,
122,4.0,9.0,50.0,,,,,
123,4.0,9.0,60.0,,,,,
124,4.0,9.0,70.0,,,,,
125,0.0,10.0,30.0,,,,,
126,0.0,10.0,40.0,,,,,
127,0.0,10.0,50.0,,,,,
128,0.0,10.0,60.0,,,,,
129,0.0,10.0,70.0,,,,,
130,1.0,10.0,30.0,,,,,
131,1.0,10.0,40.0,,,,,
132,1.0,10.0,50.0,,,,,
133,1.0,10.0,60.0,,,,,
134,1.0,10.0,70.0,,,,,
