,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal
0,0.0,5.0,30.0,1.5208279078913375e-05,5.039015054702759,2448.0,398.08411021157116
1,0.0,5.0,40.0,4.0432485365130183e-07,5.804462909698486,3302.0,385.38940460099786
2,0.0,5.0,50.0,7.717831747105523e-05,7.410753011703491,3982.0,385.38941015683827
3,0.0,5.0,60.0,0.0,4.886080980300903,3539.0,385.3894134049203
4,0.0,5.0,70.0,2.1550954869028665e-07,7.4438440799713135,4203.0,385.389416654359
5,1.0,5.0,30.0,0.0,4.7468202114105225,2219.0,235.15516744702555
6,1.0,5.0,40.0,0.0,3.5543432235717773,1832.0,233.432616356759
7,1.0,5.0,50.0,0.0,3.6870219707489014,2160.0,233.43261527099872
8,1.0,5.0,60.0,5.555571186107432e-05,5.947175025939941,2650.0,233.4326155320805
9,1.0,5.0,70.0,0.0,4.801254034042358,2272.0,233.43261775644675
10,2.0,5.0,30.0,0.0,7.9076759815216064,4250.0,368.2286755546412
11,2.0,5.0,40.0,1.557561876911437e-05,8.84552788734436,6532.0,365.485783823714
12,2.0,5.0,50.0,6.390629327701339e-05,6.58346700668335,4803.0,365.48578844738347
13,2.0,5.0,60.0,4.726992946722371e-05,8.54853105545044,6107.0,365.4857867898832
14,2.0,5.0,70.0,9.128458355119513e-05,6.666418790817261,5252.0,365.485791157957
15,3.0,5.0,30.0,0.0,2.6685221195220947,1300.0,618.9080879106169
16,3.0,5.0,40.0,8.190262966179717e-05,3.399454116821289,1594.0,594.1230009147507
17,3.0,5.0,50.0,0.0,4.61555290222168,2307.0,574.9900035110202
18,3.0,5.0,60.0,0.0,4.754562854766846,2724.0,574.9899702690109
19,3.0,5.0,70.0,0.0,4.745812892913818,3068.0,574.9899801077838
20,4.0,5.0,30.0,0.0,3.9606070518493652,2318.0,440.59868953179387
21,4.0,5.0,40.0,0.0,5.879673004150391,2726.0,419.65963438186293
22,4.0,5.0,50.0,0.0,4.7103331089019775,3014.0,419.6596317044904
23,4.0,5.0,60.0,1.8087471415806031e-06,5.642577886581421,3588.0,419.65963416746024
24,4.0,5.0,70.0,0.0,4.614812135696411,2974.0,419.64817204311373
25,0.0,6.0,30.0,6.0129414353032015e-05,35.161856174468994,14902.0,396.54036604393616
26,0.0,6.0,40.0,0.0,49.14861488342285,19093.0,396.54036688990664
27,0.0,6.0,50.0,0.0,53.37726712226868,23926.0,395.66672963609324
28,0.0,6.0,60.0,0.0,63.44534206390381,24187.0,395.66674589428806
