,Size,Instance,Capacity,GAP,NodeCount,Runtime,ObjVal,HeurTime,HeurVal
0,5.0,0.0,30.0,4.240203602710505e-08,2249.0,2.546834945678711,313.48292262730666,0.0119972229003906,414.7585205054377
1,5.0,0.0,40.0,3.497863033361398e-09,2829.0,2.297853469848633,308.38463228769666,0.0109710693359375,414.758393362169
2,5.0,0.0,50.0,2.3126678500251788e-08,3190.0,1.9757137298583984,303.9785213766146,0.0099716186523437,414.75841347814446
3,5.0,0.0,60.0,0.0,2496.0,1.4760513305664062,302.6523495744078,0.0089740753173828,414.75841503008417
4,5.0,0.0,70.0,0.0,2033.0,1.1559066772460938,302.6523495744079,0.0089759826660156,414.75850763603376
5,5.0,1.0,30.0,1.3538169578065255e-05,1510.0,1.999652862548828,502.9739296755321,0.0170574188232421,564.9127456456043
6,5.0,1.0,40.0,0.0,2244.0,2.19512939453125,462.0427981189279,0.0099754333496093,558.4759673737802
7,5.0,1.0,50.0,3.134390409507115e-11,2362.0,1.768270492553711,462.0427995477705,0.0099735260009765,558.4760558572627
8,5.0,1.0,60.0,1.4731089213756517e-06,2718.0,1.8550376892089844,462.0428003408682,0.0089759826660156,558.476128539145
9,5.0,1.0,70.0,1.9168635185381463e-09,2942.0,2.765718460083008,462.0428009636572,0.0098094940185546,558.4760565350447
10,5.0,2.0,30.0,3.389438149725516e-08,3102.0,3.246316909790039,343.56618059413586,0.0087337493896484,491.55529686682144
11,5.0,2.0,40.0,5.3287752196995845e-05,2437.0,2.284881591796875,338.9037886393513,0.0089778900146484,491.5552567109097
12,5.0,2.0,50.0,0.0,2900.0,3.2668228149414062,333.71243324015086,0.0091285705566406,491.5552453949233
13,5.0,2.0,60.0,0.0,1786.0,1.575784683227539,322.4749567860996,0.0075912475585937,491.55525180053536
14,5.0,2.0,70.0,0.0,1873.0,2.074447631835937,322.4749567860996,0.0078659057617187,491.55528330196177
15,5.0,3.0,30.0,0.0,2681.0,1.6824970245361328,363.7076942330444,0.0077133178710937,391.0718368757268
16,5.0,3.0,40.0,8.057812300709926e-05,3121.0,1.5418720245361328,363.6821214668805,0.0079860687255859,391.07181356928345
17,5.0,3.0,50.0,4.879281435865093e-07,3414.0,1.892915725708008,363.6821203344596,0.0076065063476562,391.0718257907537
18,5.0,3.0,60.0,1.7005368017004664e-06,3270.0,1.8231239318847656,363.6821199328152,0.0097332000732421,391.0718193017264
19,5.0,3.0,70.0,2.2580488418355135e-05,3493.0,1.889944076538086,363.6900697688001,0.0099735260009765,391.07190012874736
