,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,0.0,5.0,30.0,0.0,3.9379711151123047,2105.0,398.0841148788118,398.0841148788118,4.066598415374756
1,0.0,5.0,40.0,3.407291697952444e-05,5.848726987838745,3498.0,385.3894082515378,385.3894082515378,5.980912446975708
2,0.0,5.0,50.0,1.355013209076433e-07,5.377779960632324,3239.0,385.38941516750026,385.38941516750026,5.527331113815308
3,0.0,5.0,60.0,2.67704022168779e-05,8.7973051071167,6010.0,385.3894179261589,385.3894179261589,8.922365427017212
4,0.0,5.0,70.0,6.674492178050996e-05,5.304551124572754,4164.0,385.3894391092924,385.3894391092924,5.429346799850464
5,1.0,5.0,30.0,5.912689254970407e-07,4.268838882446289,2217.0,235.1552429101101,235.1552429101101,4.464870452880859
6,1.0,5.0,40.0,0.0,4.446033954620361,2203.0,233.43261977695337,233.43261977695337,4.650392770767212
7,1.0,5.0,50.0,0.0,4.015580177307129,1846.0,233.43261565876898,233.43261565876898,4.21486759185791
8,1.0,5.0,60.0,0.0,5.408637046813965,2153.0,233.43261820099573,233.43261820099573,5.611963748931885
9,1.0,5.0,70.0,0.0,4.290363073348999,1560.0,233.43261559579076,233.43261559579076,4.496858596801758
10,2.0,5.0,30.0,4.24111999311048e-06,6.92730188369751,3607.0,368.2286773298255,368.2286773298255,7.083760738372803
11,2.0,5.0,40.0,4.322344939391252e-05,6.295176029205322,3640.0,365.48578592812527,365.48578592812527,6.451260089874268
12,2.0,5.0,50.0,0.0,8.565582990646362,4329.0,365.48578913311076,365.48578913311076,8.7114577293396
13,2.0,5.0,60.0,1.0490675831755228e-05,7.006765127182007,3948.0,365.48579108312117,365.48579108312117,7.153056621551514
14,2.0,5.0,70.0,6.234924423280342e-06,7.961270093917847,5345.0,365.4857866011632,365.4857866011632,8.109341382980347
15,3.0,5.0,30.0,4.063371592834936e-05,2.718416929244995,858.0,618.9081085114653,618.9081085114655,2.7994682788848877
16,3.0,5.0,40.0,0.0,4.250962018966675,1791.0,594.1229974259194,594.1229974259194,4.335575342178345
17,3.0,5.0,50.0,4.026609677076976e-05,6.65490198135376,2981.0,574.9899701315528,574.9899701315528,6.737380504608154
18,3.0,5.0,60.0,0.0,4.58341908454895,2635.0,574.9899864709992,574.9899864709992,4.666659355163574
19,3.0,5.0,70.0,0.0,5.9895570278167725,3025.0,574.9899875661641,574.9899875661641,6.06657338142395
20,4.0,5.0,30.0,0.0,4.678609848022461,2271.0,440.5986827120373,440.5986827120373,4.944164991378784
21,4.0,5.0,40.0,5.2131621039597406e-05,5.461554050445557,2894.0,419.6596377781784,419.6596377781784,5.631121635437012
22,4.0,5.0,50.0,0.0,6.320128917694092,4236.0,419.6596326532077,419.6596326532077,6.49260139465332
23,4.0,5.0,60.0,0.0,6.086550951004028,3164.0,419.65962606332937,419.65962606332937,6.277016878128052
24,4.0,5.0,70.0,2.602296527717815e-05,5.991804838180542,3569.0,419.6481689509402,419.6481689509402,6.1580893993377686
25,0.0,6.0,30.0,9.66131330098545e-05,39.67652487754822,15604.0,396.5403690401277,396.5403690401277,39.84824228286743
26,0.0,6.0,40.0,5.517056219676526e-05,44.568564891815186,18974.0,396.54036152140134,396.54036152140134,44.821874380111694
27,0.0,6.0,50.0,0.0,46.66699004173279,23507.0,395.6667474987433,395.6667474987433,46.83278727531433
28,0.0,6.0,60.0,0.0,52.705081939697266,23600.0,395.6668391416956,395.6668391416956,52.89268755912781
29,0.0,6.0,70.0,6.963779607655042e-05,56.76376390457153,23805.0,395.6667335888837,395.6667335888837,56.93726849555969
30,1.0,6.0,30.0,5.744833760511166e-05,68.33401584625244,29392.0,346.24874125185204,346.24874125185204,68.48537564277649
31,1.0,6.0,40.0,0.0,68.80569815635681,35247.0,346.2487266139333,346.2487266139333,68.95687365531921
32,1.0,6.0,50.0,8.001495468766505e-05,126.85114192962646,50392.0,346.24873212004917,346.24873212004917,127.00761842727661
33,1.0,6.0,60.0,2.633707121555966e-05,60.149314880371094,28848.0,346.24872423988757,346.24872423988757,60.30871939659119
34,1.0,6.0,70.0,4.59664370305411e-05,64.31404399871826,28961.0,346.2487316640547,346.2487316640547,64.46104407310486
35,2.0,6.0,30.0,5.236351803287914e-05,23.57800602912903,10278.0,650.0737016017282,650.0737016017282,23.712769031524658
36,2.0,6.0,40.0,3.111770847873592e-05,31.763183116912842,15625.0,605.2418306599147,605.2418306599147,31.88886594772339
37,2.0,6.0,50.0,8.961249042786686e-05,52.1703519821167,23548.0,577.7161851366678,577.7161851366678,52.30262637138367
38,2.0,6.0,60.0,0.0,54.545361042022705,22927.0,577.7163673386178,577.7163673386178,54.66882276535034
39,2.0,6.0,70.0,2.8843323048008386e-05,55.26510810852051,23720.0,577.7161764788108,577.7161764788108,55.38710021972656
40,3.0,6.0,30.0,5.786900970291635e-05,84.41691398620605,41168.0,319.11304405353144,319.11304405353144,84.64854645729065
41,3.0,6.0,40.0,7.498373141534612e-05,68.74917387962341,31125.0,319.1129850005799,319.1129850005799,68.97632575035095
42,3.0,6.0,50.0,2.9333719086847384e-05,155.62782192230225,54715.0,319.11316294694274,319.11316294694274,155.8827018737793
43,3.0,6.0,60.0,6.650340586287508e-05,185.32946014404297,65695.0,314.1077674464587,314.1077674464587,185.70575141906738
44,3.0,6.0,70.0,3.260108522028572e-05,70.6129698753357,32800.0,314.1077787359475,314.1077787359475,70.84124946594238
45,4.0,6.0,30.0,2.166450886129409e-07,43.827033042907715,15367.0,384.9776039387435,384.9776039387435,43.972949743270874
