,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,0.0,5.0,30.0,0.8563365201310339,1.5413649082183838,0.0,434.12615287313326,434.12615287313326,1.750741720199585
1,0.0,5.0,40.0,0.8563365211338457,1.7770750522613525,0.0,434.1261559034568,434.1261559034568,1.975013017654419
2,0.0,5.0,50.0,0.8563365213110182,1.6563799381256104,0.0,434.1261564388414,434.1261564388414,1.876298427581787
3,0.0,5.0,60.0,0.8563365207104403,2.012587070465088,0.0,434.1261546239987,434.1261546239987,2.2191386222839355
4,0.0,5.0,70.0,0.8563450462410657,1.2052249908447266,0.0,434.15191883003297,434.15191883003297,1.4328031539916992
5,1.0,5.0,30.0,0.8320845173221959,1.5110881328582764,0.0,314.25599803753886,314.25599803753886,1.8682401180267334
6,1.0,5.0,40.0,0.8320845181987847,1.5280249118804932,0.0,314.25599967808586,314.25599967808586,1.9043920040130615
7,1.0,5.0,50.0,0.8320845177982072,2.226606845855713,0.0,314.25599892839995,314.25599892839995,2.586047410964966
8,1.0,5.0,60.0,0.8320845190960428,2.34480881690979,0.0,314.25600135731577,314.25600135731577,2.776332378387451
9,1.0,5.0,70.0,0.8320845176825983,2.2419731616973877,0.0,314.2559987120361,314.2559987120361,2.59712815284729
10,2.0,5.0,30.0,0.9111649526790409,1.6423559188842773,0.0,441.99378052359157,441.99378052359157,1.9354045391082764
11,2.0,5.0,40.0,0.9111649537484198,2.252457857131958,0.0,441.9937858442284,441.9937858442284,2.5417068004608154
12,2.0,5.0,50.0,0.9111649537184822,1.9936470985412598,0.0,441.99378569527477,441.99378569527477,2.276498556137085
13,2.0,5.0,60.0,0.9111649527102249,1.9829840660095215,0.0,441.9937806787477,441.9937806787477,2.2523834705352783
14,2.0,5.0,70.0,0.9111649528990812,1.5385770797729492,0.0,441.99378161839104,441.99378161839104,1.8298535346984863
15,3.0,5.0,30.0,0.8892786584659743,1.5819671154022217,0.0,676.9192810527368,676.9192810527368,1.734297275543213
