,Instance,Size,Capacity,ObjVal_h,Time_h
0,0.0,5.0,30.0,414.75839290636986,0.45054101943969727
1,0.0,5.0,40.0,414.75839003286126,0.5446958541870117
2,0.0,5.0,50.0,414.75838996896425,0.6165153980255127
3,0.0,5.0,60.0,414.75839635969714,0.42762231826782227
4,0.0,5.0,70.0,414.75839421462524,0.32906389236450195
5,1.0,5.0,30.0,564.9127034341742,0.4963405132293701
6,1.0,5.0,40.0,558.4759491992,0.14328837394714355
7,1.0,5.0,50.0,558.4759637444149,0.11554646492004395
8,1.0,5.0,60.0,558.4759619721148,0.09641551971435547
9,1.0,5.0,70.0,558.475956227849,0.08820128440856934
10,2.0,5.0,30.0,491.5552528615174,0.147139310836792
11,2.0,5.0,40.0,491.5552505631925,0.13046836853027344
12,2.0,5.0,50.0,491.5552534913288,0.14935970306396484
13,2.0,5.0,60.0,491.55526077207765,0.1314101219177246
14,2.0,5.0,70.0,491.5552631609347,0.15499210357666016
15,3.0,5.0,30.0,391.0718217557285,0.2747530937194824
16,3.0,5.0,40.0,391.0718204965684,0.18262004852294922
17,3.0,5.0,50.0,391.0718279114909,0.3050503730773926
18,3.0,5.0,60.0,391.0718208950944,0.8182659149169922
19,3.0,5.0,70.0,391.0718165260788,0.5412952899932861
20,4.0,5.0,30.0,492.8721078618016,0.06794309616088867
21,4.0,5.0,40.0,492.8721188766655,0.059854984283447266
22,4.0,5.0,50.0,492.8721243570571,0.08193445205688477
23,4.0,5.0,60.0,492.87211910990186,0.12970328330993652
24,4.0,5.0,70.0,492.87211477584606,0.11935830116271973
25,0.0,6.0,30.0,748.2907805347397,0.25351643562316895
26,0.0,6.0,40.0,746.0634713319539,0.4819190502166748
27,0.0,6.0,50.0,746.0634498319257,0.16853761672973633
28,0.0,6.0,60.0,746.0634661709273,0.14328908920288086
29,0.0,6.0,70.0,746.0634670106901,0.2259383201599121
30,1.0,6.0,30.0,556.8621347058127,0.14461755752563477
31,1.0,6.0,40.0,556.8621364227063,0.10119986534118652
32,1.0,6.0,50.0,556.8621405381461,0.12091565132141113
33,1.0,6.0,60.0,556.86215042162,0.1015620231628418
34,1.0,6.0,70.0,556.8621493007627,0.11195802688598633
35,2.0,6.0,30.0,499.7474250249301,0.4046022891998291
36,2.0,6.0,40.0,499.74743432336436,0.1134793758392334
37,2.0,6.0,50.0,499.74743211410265,0.15635371208190918
38,2.0,6.0,60.0,499.7474286707085,0.1072382926940918
39,2.0,6.0,70.0,499.74742520523137,0.10793089866638184
40,3.0,6.0,30.0,561.5332529573965,0.09938645362854004
41,3.0,6.0,40.0,556.683661452027,0.0880424976348877
42,3.0,6.0,50.0,556.6836590643913,0.0799410343170166
43,3.0,6.0,60.0,556.6836647363962,0.3809230327606201
44,3.0,6.0,70.0,556.6836587106611,0.360182523727417
45,4.0,6.0,30.0,607.0168694289817,0.08557558059692383
46,4.0,6.0,40.0,607.0168717053748,0.09002280235290527
47,4.0,6.0,50.0,607.016849796026,0.07281613349914551
48,4.0,6.0,60.0,607.0170081294716,0.09163379669189453
49,4.0,6.0,70.0,607.0168739037895,0.07656431198120117
50,0.0,7.0,30.0,585.3577105857111,0.12338685989379883
51,0.0,7.0,40.0,585.3577222684256,0.8386075496673584
52,0.0,7.0,50.0,585.3577061526174,0.7899448871612549
53,0.0,7.0,60.0,585.3577095159235,0.5392110347747803
54,0.0,7.0,70.0,585.3577188365102,0.11379671096801758
55,1.0,7.0,30.0,814.6681675429897,0.1209104061126709
56,1.0,7.0,40.0,784.6682023219261,0.486098051071167
57,1.0,7.0,50.0,768.5669232044297,0.10779190063476562
58,1.0,7.0,60.0,768.5669276316377,0.6346476078033447
59,1.0,7.0,70.0,768.5669357422198,0.757861852645874
60,2.0,7.0,30.0,840.811990780034,0.12979722023010254
61,2.0,7.0,40.0,811.2307725963176,0.684739351272583
62,2.0,7.0,50.0,811.2307736711307,0.14243507385253906
63,2.0,7.0,60.0,811.2307786258709,0.14533090591430664
64,2.0,7.0,70.0,811.2307657929433,0.7870726585388184
65,3.0,7.0,30.0,694.6811240180726,0.14161062240600586
66,3.0,7.0,40.0,690.2624309870644,0.14969658851623535
67,3.0,7.0,50.0,690.2624221626138,0.5722882747650146
68,3.0,7.0,60.0,690.2624404141943,0.8009452819824219
69,3.0,7.0,70.0,690.2624392936758,0.16995477676391602
70,4.0,7.0,30.0,641.76222830018,0.528881311416626
71,4.0,7.0,40.0,611.7622107436451,0.14294815063476562
72,4.0,7.0,50.0,607.0663911895351,0.15287113189697266
73,4.0,7.0,60.0,607.0664052990795,0.15786290168762207
74,4.0,7.0,70.0,607.0664074876635,0.1401841640472412
