,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,4.0,8.0,40.0,0.7120648928809361,7200.159910202026,27738.0,761.2040848898041,0.6421377658843994,763.8047547492185
1,4.0,8.0,50.0,0.7086611558423099,7200.1169147491455,30600.0,761.2040869314148,0.6243295669555664,768.836058246591
2,4.0,8.0,60.0,0.6890460689502773,7200.663084030151,25241.0,713.2582736159673,0.539557695388794,780.0956751728374
3,4.0,8.0,70.0,0.6870558447370438,7200.131326675415,32597.0,732.3867740389626,0.5435464382171631,773.5389072593225
4,0.0,9.0,30.0,0.7296012521670913,7200.169969558716,15059.0,644.1879474732061,1.4501233100891113,664.6904822783955
5,0.0,9.0,40.0,0.6590973029851279,7200.098299026489,72932.0,644.1879103574331,1.3882863521575928,644.9130432609259
6,0.0,9.0,50.0,0.6318132131684998,7200.1713790893555,91765.0,590.207689458249,1.3892862796783447,718.4147086762384
7,0.0,9.0,60.0,0.6659985761418203,7200.073226928711,82097.0,644.1879123546314,1.3932745456695557,653.6070452337511
8,0.0,9.0,70.0,0.7280592889617952,7200.094411849976,15814.0,644.1879105679974,1.4481284618377686,650.2658646611085
9,1.0,9.0,30.0,0.7013449504955812,7200.122352600098,17939.0,836.3374766809311,1.5887510776519775,836.3374766809309
10,1.0,9.0,40.0,0.7220724506233184,7200.097105026245,18304.0,836.3374205375628,1.623659372329712,850.7778178618643
11,1.0,9.0,50.0,0.7367252978587961,7200.119735717773,14992.0,837.5532901359675,1.6077020168304443,863.4331815649523
12,1.0,9.0,60.0,0.6947205832880989,7200.078773498535,56339.0,808.323241838261,1.5857596397399902,838.877127048177
13,1.0,9.0,70.0,0.7288098492357603,7200.080780029297,14115.0,836.3378959144617,1.7483251094818115,850.7778132644971
14,2.0,9.0,30.0,0.6957721759122125,7200.212697982788,15082.0,887.0814532598088,2.6150078773498535,908.2345177152349
15,2.0,9.0,40.0,0.6850519000585692,7200.14414024353,14708.0,857.4477696192578,2.845392942428589,867.5125409448826
16,2.0,9.0,50.0,0.6826052333837274,7200.131046295166,14248.0,851.344768852581,2.6598751544952393,855.4158998679051
17,2.0,9.0,60.0,0.6804997628165694,7200.128681182861,11982.0,855.4155111146913,2.672853469848633,855.4155111146913
18,2.0,9.0,70.0,0.6813749469775259,7200.136457443237,16648.0,857.1672028566699,2.6818299293518066,857.1672125431285
19,3.0,9.0,30.0,0.710192610769882,7200.099452972412,14236.0,677.9637797219759,1.5559766292572021,677.963811857467
20,3.0,9.0,40.0,0.7142509770708171,7200.114263534546,13590.0,677.068472934996,1.2596313953399658,677.0684923535307
21,3.0,9.0,50.0,0.7133348754738063,7200.111095428467,9855.0,665.455120759201,1.2715983390808105,692.417064843697
22,3.0,9.0,60.0,0.7275607280021711,7200.127090454102,13768.0,675.86875686147,1.2636198997497559,675.8687804344561
23,3.0,9.0,70.0,0.6658945233855293,7200.117303848267,14701.0,590.7074344521906,1.5539581775665283,693.0605109998135
24,4.0,9.0,30.0,0.7626910900070465,7200.108028411865,13922.0,698.8245633925519,3.4437930583953857,716.750817248311
25,4.0,9.0,40.0,0.7482535543049872,7200.152046203613,20494.0,673.5910334431092,3.367997646331787,717.1889770702938
26,4.0,9.0,50.0,0.7368242181604109,7200.129287719727,19495.0,692.0400460773515,3.494655132293701,709.7664706241785
27,4.0,9.0,60.0,0.738186908472381,7200.134506225586,17039.0,684.0325425637301,3.6283018589019775,698.824457871927
28,4.0,9.0,70.0,0.7382437462567308,7200.096324920654,18428.0,643.8767285715064,3.7958531379699707,710.3414912609751
29,0.0,10.0,30.0,0.720567539749307,7200.134250640869,11648.0,938.4273003606603,2.0505168437957764,938.4273269404072
30,0.0,10.0,40.0,0.7141814213157588,7200.129068374634,6513.0,927.1823194297532,1.9567689895629883,942.245982971553
31,0.0,10.0,50.0,0.709252146526973,7200.14665222168,8235.0,928.6263398981619,1.9996540546417236,928.6263438333001
32,0.0,10.0,60.0,0.7111945272729026,7200.156147003174,10247.0,934.8716459103277,1.984694004058838,940.395121730478
33,0.0,10.0,70.0,0.7089931205829013,7200.113174438477,14520.0,929.8725241456806,1.8769736289978027,931.1457920966543
34,1.0,10.0,30.0,0.7100280128029463,7200.104173660278,9549.0,816.0253049318004,1.7802422046661377,863.4893869509856
35,1.0,10.0,40.0,0.7113690149540997,7200.241945266724,11029.0,815.7499615801955,1.7124221324920654,820.6239443416205
36,1.0,10.0,50.0,0.7031875992227368,7200.189655303955,7673.0,816.7344166650603,1.7682726383209229,816.7344600508661
37,1.0,10.0,60.0,0.7030124810839458,7200.168046951294,6295.0,815.7499877344724,2.0196011066436768,837.6372679231624
38,1.0,10.0,70.0,0.7111108855866558,7200.139846801758,9986.0,817.0556448638907,1.8919405937194824,832.7980270728708
39,2.0,10.0,30.0,0.7076296103953389,7200.120403289795,9200.0,780.6014207074345,10.563854932785034,780.6015429084804
40,2.0,10.0,40.0,0.710591462597516,7200.205623626709,7738.0,776.0927247211628,10.755260467529297,783.4551004699276
41,2.0,10.0,50.0,0.7114652029995049,7200.084445953369,5918.0,776.0927895506925,10.732305526733398,776.0928277441435
42,2.0,10.0,60.0,0.7042040061506489,7200.083429336548,11903.0,777.9174477822477,10.584702253341675,777.9174632257377
43,2.0,10.0,70.0,0.7063751703866674,7200.065847396851,9860.0,777.2665332264141,9.172477006912231,777.2665332264141
44,3.0,10.0,30.0,0.7247115728890088,7200.23264503479,13707.0,569.891605782885,12.5514395236969,586.4185864496512
