,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,0.0,5.0,30.0,8.959679227983775e-05,10.475166082382202,4203.0,332.37152993317,0.008959679227983776,10.802849769592285
1,0.0,5.0,40.0,2.793806710292046e-06,11.66043496131897,5341.0,332.37152931876716,0.0002793806710292046,11.94029974937439
2,0.0,5.0,50.0,5.793429423920396e-05,13.19643497467041,5634.0,332.3715299336945,0.005793429423920396,13.642678499221802
3,0.0,5.0,60.0,6.258830548601206e-05,13.570665836334229,6888.0,332.3715298397,0.006258830548601206,13.857001781463623
4,0.0,5.0,70.0,9.174313486861418e-05,15.523621797561646,6196.0,332.3715311156857,0.009174313486861417,15.802963495254517
5,1.0,5.0,30.0,0.0,9.355165958404541,4205.0,463.33816760423673,0.0,9.52279019355774
6,1.0,5.0,40.0,0.0,13.066742897033691,5336.0,459.50825274246085,0.0,13.227206945419312
7,1.0,5.0,50.0,0.0,22.765104055404663,7818.0,458.02581065922107,0.0,22.95911693572998
8,1.0,5.0,60.0,0.0,20.196458101272583,7295.0,458.0256272845676,0.0,20.36736512184143
9,1.0,5.0,70.0,0.0,24.85634994506836,8099.0,458.025632877931,0.0,25.004688501358032
10,2.0,5.0,30.0,0.0,19.40847897529602,6984.0,427.46149004630547,0.0,19.58742666244507
11,2.0,5.0,40.0,0.0,12.245434999465942,3872.0,405.5478819775062,0.0,12.405880212783813
12,2.0,5.0,50.0,4.153731480849237e-05,19.1649489402771,3938.0,405.5478924677859,0.004153731480849237,19.303168535232544
13,2.0,5.0,60.0,0.0,15.027415990829468,3367.0,405.5478952996024,0.0,15.270879745483398
14,2.0,5.0,70.0,5.534815787873771e-05,18.1839280128479,4202.0,405.47075615851566,0.005534815787873771,18.60847544670105
15,3.0,5.0,30.0,0.0,15.781869888305664,3360.0,367.7987156362292,0.0,16.05803155899048
16,3.0,5.0,40.0,0.0,23.19841194152832,6597.0,364.0129418570035,0.0,23.360649824142456
17,3.0,5.0,50.0,0.0,18.506568908691406,4782.0,362.69596106095116,0.0,18.751951456069946
18,3.0,5.0,60.0,0.0,19.593369960784912,5091.0,362.6959711896626,0.0,19.805076122283936
19,3.0,5.0,70.0,0.0,19.401018857955933,5014.0,362.695973800734,0.0,19.579421520233154
20,4.0,5.0,30.0,9.303307365260312e-05,29.1159451007843,10439.0,471.5232575917334,0.009303307365260312,29.639838933944702
21,4.0,5.0,40.0,2.6475452913454062e-05,25.68136501312256,8007.0,441.10143710018485,0.0026475452913454064,25.986475706100464
22,4.0,5.0,50.0,8.664520410358036e-05,27.916604042053223,7630.0,441.10141578903637,0.008664520410358036,28.349070072174072
23,4.0,5.0,60.0,7.864794427968893e-05,35.346961975097656,10683.0,441.10141722512884,0.007864794427968893,35.67895817756653
24,4.0,5.0,70.0,4.6449277219486775e-05,49.735193967819214,17553.0,441.1014161284107,0.004644927721948677,50.26120114326477
25,0.0,6.0,30.0,6.381051910427508e-05,155.33520889282227,21425.0,594.9334451561915,0.006381051910427508,156.17719340324402
26,0.0,6.0,40.0,7.035626922625918e-05,261.20103883743286,33905.0,558.2180604210248,0.007035626922625918,261.7360303401947
27,0.0,6.0,50.0,9.296797700883491e-05,225.46978998184204,29836.0,532.1453733345769,0.009296797700883491,226.1495590209961
28,0.0,6.0,60.0,4.911977862014589e-05,258.88620710372925,33301.0,532.145372454986,0.00491197786201459,259.32410192489624
29,0.0,6.0,70.0,9.65416100758016e-05,274.40396213531494,34387.0,532.1453723805732,0.00965416100758016,274.8001205921173
30,1.0,6.0,30.0,9.184285291972785e-05,243.15916109085083,38656.0,475.0212955905997,0.009184285291972785,245.0957703590393
31,1.0,6.0,40.0,9.74339621023725e-05,555.7253711223602,71505.0,453.9437567774071,0.009743396210237251,557.6835119724274
32,1.0,6.0,50.0,8.66847229625146e-05,286.88273191452026,36366.0,453.8716932276787,0.00866847229625146,288.01530838012695
33,1.0,6.0,60.0,8.739994512006525e-05,447.4305531978607,53618.0,453.87169421467945,0.008739994512006525,448.8864245414734
34,1.0,6.0,70.0,8.106526929027191e-05,780.8080430030823,88999.0,453.87169667385575,0.008106526929027191,782.8666925430298
35,2.0,6.0,30.0,1.4026692020490234e-05,299.3139488697052,34837.0,403.4323589898502,0.0014026692020490234,299.7778775691986
36,2.0,6.0,40.0,2.8311491928591836e-07,196.24688291549683,22379.0,403.4319388687179,2.8311491928591836e-05,196.75327563285828
37,2.0,6.0,50.0,6.924103208191954e-05,163.06949090957642,28343.0,399.512441456456,0.006924103208191954,163.38184762001038
38,2.0,6.0,60.0,6.450964048097983e-05,247.13035082817078,23648.0,399.51243805566844,0.006450964048097983,247.5329349040985
39,2.0,6.0,70.0,8.778437213372696e-05,268.23777198791504,37375.0,399.4905496135068,0.008778437213372696,268.47498989105225
40,3.0,6.0,30.0,1.5822935273131926e-05,556.9521520137787,58673.0,440.8995154001108,0.0015822935273131927,557.3598186969757
41,3.0,6.0,40.0,7.988608659775028e-05,620.7161629199982,59156.0,432.7830388043448,0.007988608659775027,621.3207495212555
42,3.0,6.0,50.0,7.646757185550365e-05,978.2093250751495,69245.0,432.7830397747536,0.007646757185550365,978.5900590419769
43,3.0,6.0,60.0,9.165621113510104e-05,296.7183349132538,36871.0,432.7830401938237,0.009165621113510105,297.16768407821655
44,3.0,6.0,70.0,8.98761522566402e-05,428.62501311302185,60237.0,432.7830398331695,0.00898761522566402,428.99691128730774
45,4.0,6.0,30.0,3.175594787271002e-05,175.8275179862976,20971.0,599.8794856822228,0.003175594787271002,176.18962407112122
